[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsnodirectaccesstry=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsnopacketloss=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsnosucccall=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) finaltransport=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) mserverfound_61386=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) nonmserverlist_61386=,127.0.0.1, {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) subsdnsalookupdisable=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) checkedwidebandok=2 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) checkeduwidebandok=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) oldsignalingport=3310 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) wasgoodhttpstreaming=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) autotransport_tcpproxyfailed=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) autotransport_tcpproxysocksfailed=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) systemsockproxywasset=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) aecwascached=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:064] EVENT,      get parameter (from 10014) lastrtpportsaved=5074 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:065] EVENT,      get parameter (from 10014) lastserverrtpport=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:065] EVENT,      get parameter (from 10014) lastrtppublicport=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:065] EVENT,      get parameter (from 10014) lastcfgfileversion=168 {wmain 57} [inst: 2246]
